feature,train_auc,test_auc,auc_drop,missing_rate_train
FLOORSMAX_AVG,0.5505982377728154,0.5415104988337256,0.009087738939089762,0.5061895006124462
DAYS_LAST_PHONE_CHANGE,0.5608411867640579,0.5408412038173944,0.019999982946663497,5.419877944348693e-06
REG_CITY_NOT_WORK_CITY,0.5340513283580848,0.5408348097328066,-0.006783481374721845,0.0
FLOORSMAX_MODE,0.5488656176674861,0.5399270726171277,0.008938545050358404,0.5061895006124462
LIVINGAREA_AVG,0.5486875405964654,0.537529688190183,0.01115785240628242,0.5099563157837685
HOUSING_MISSING_COUNT,0.5384252179131461,0.5373992980451772,0.0010259198679689607,0.0
LIVINGAREA_MEDI,0.5481746094594433,0.5373029878845482,0.010871621574895074,0.5099563157837685
TOTALAREA_MODE,0.5460777513383055,0.5352947155279222,0.010783035810383312,0.4911005604153795
FLAG_DOCUMENT_3,0.531918518588413,0.5349132138540215,-0.0029946952656084713,0.0
LIVINGAREA_MODE,0.5453754683256229,0.5348075651343112,0.010567903191311734,0.5099563157837685
APARTMENTS_AVG,0.5398733508518547,0.5337005326081943,0.0061728182436604495,0.5154629117752269
APARTMENTS_MEDI,0.5391038886531624,0.5335172399151503,0.005586648738012068,0.5154629117752269
HOUSING_QUALITY_MEAN,0.5448758569585781,0.5324378968327355,0.01243796012584264,0.4902171203104506
APARTMENTS_MODE,0.5375469824205588,0.5312527790190551,0.006294203401503662,0.5154629117752269
LIVINGAPARTMENTS_MEDI,0.5368016935188243,0.5310179483097703,0.005783745209054003,0.6891754197695468
LIVINGAPARTMENTS_AVG,0.5377093268977537,0.5298333272749378,0.007875999622815932,0.6891754197695468
ELEVATORS_MEDI,0.5403203295585519,0.5298107148628101,0.010509614695741853,0.5419769546789807
ELEVATORS_AVG,0.5412411664945924,0.5296405042916718,0.011600662202920664,0.5419769546789807
YEARS_BEGINEXPLUATATION_MEDI,0.5314793843994052,0.5278425689332977,0.0036368154661075014,0.49615730653745677
LIVINGAPARTMENTS_MODE,0.5347782662942361,0.5278376667573337,0.006940599536902403,0.6891754197695468
LIVE_CITY_NOT_WORK_CITY,0.5181873823717088,0.5275919753880745,-0.009404593016365648,0.0
YEARS_BEGINEXPLUATATION_AVG,0.5314594454729422,0.5275726639149086,0.0038867815580335696,0.49615730653745677
YEARS_BEGINEXPLUATATION_MODE,0.5309687814588024,0.5270334406069123,0.003935340851890179,0.49615730653745677
ELEVATORS_MODE,0.5382496602299425,0.5261810656573287,0.012068594572613778,0.5419769546789807
FLAG_WORK_PHONE,0.5154772503107806,0.5259950057298709,-0.01051775541909028,0.0
REGION_POPULATION_RELATIVE,0.5341467225295657,0.5253977870809502,0.008748935448615547,0.0
FLOORSMIN_MEDI,0.5378862039343035,0.5253757285601447,0.012510475374158836,0.6840048562106381
